"date","group","subject","team","label","response","comment"
"2018_9_26_11_8_13","1","7","4","roll305","6","actual_number: 10; reaction_time: 5.11"
"2018_9_26_11_8_15","1","4","2","roll307","6","actual_number: 10; reaction_time: 7.31"
"2018_9_26_11_8_16","1","2","1","roll309","5","actual_number: 10; reaction_time: 7.17"
"2018_9_26_11_8_21","1","3","2","roll309","3","actual_number: 10; reaction_time: 7.54"
"2018_9_26_11_8_23","1","8","4","roll308","2","actual_number: 10; reaction_time: 8.44"
"2018_9_26_11_8_23","1","1","1","roll307","6","actual_number: 10; reaction_time: 8.41"
"2018_9_26_11_8_23","1","7","4","roll306","4","actual_number: 10; reaction_time: 7.07"
"2018_9_26_11_8_24","1","9","5","roll308","1","actual_number: 10; reaction_time: 9.7"
"2018_9_26_11_8_24","1","4","2","roll308","5","actual_number: 10; reaction_time: 6.61"
"2018_9_26_11_8_26","1","10","5","roll101","5","actual_number: 8; reaction_time: 6.22"
"2018_9_26_11_8_26","1","5","3","roll303","5","actual_number: 10; reaction_time: 9.96"
"2018_9_26_11_8_32","1","1","1","roll308","4","actual_number: 10; reaction_time: 6.85"
"2018_9_26_11_8_32","1","8","4","roll309","4","actual_number: 10; reaction_time: 7.27"
"2018_9_26_11_8_33","1","10","5","roll102","5","actual_number: 8; reaction_time: 4.78"
"2018_9_26_11_8_33","1","4","2","roll309","5","actual_number: 10; reaction_time: 6.36"
"2018_9_26_11_8_35","1","9","5","roll309","4","actual_number: 10; reaction_time: 8.02"
"2018_9_26_11_8_39","1","6","3","roll304","6","actual_number: 10; reaction_time: 8.8"
"2018_9_26_11_8_40","1","2","1","roll101","6","actual_number: 8; reaction_time: 7.94"
"2018_9_26_11_8_40","1","10","5","roll103","6","actual_number: 8; reaction_time: 4.71"
"2018_9_26_11_8_40","1","7","4","roll307","4","actual_number: 10; reaction_time: 8.74"
"2018_9_26_11_8_42","1","1","1","roll309","1","actual_number: 10; reaction_time: 7.67"
"2018_9_26_11_8_43","1","5","3","roll304","4","actual_number: 10; reaction_time: 9.12"
"2018_9_26_11_8_45","1","3","2","roll101","5","actual_number: 8; reaction_time: 7.55"
"2018_9_26_11_8_49","1","7","4","roll308","5","actual_number: 10; reaction_time: 6.59"
"2018_9_26_11_8_50","1","2","1","roll102","3","actual_number: 8; reaction_time: 7.24"
"2018_9_26_11_8_51","1","10","5","roll104","1","actual_number: 8; reaction_time: 4.79"
"2018_9_26_11_8_52","1","3","2","roll102","4","actual_number: 8; reaction_time: 4.2"
"2018_9_26_11_8_53","1","6","3","roll305","3","actual_number: 10; reaction_time: 11.78"
"2018_9_26_11_8_54","1","5","3","roll305","6","actual_number: 10; reaction_time: 8.12"
"2018_9_26_11_8_56","1","7","4","roll309","5","actual_number: 10; reaction_time: 4.68"
"2018_9_26_11_8_58","1","10","5","roll105","2","actual_number: 8; reaction_time: 4.44"
"2018_9_26_11_8_59","1","2","1","roll103","4","actual_number: 8; reaction_time: 7.43"
"2018_9_26_11_9_0","1","3","2","roll103","3","actual_number: 8; reaction_time: 5.37"
"2018_9_26_11_9_0","1","8","4","roll101","1","actual_number: 8; reaction_time: 5.14"
"2018_9_26_11_9_3","1","6","3","roll306","1","actual_number: 10; reaction_time: 7.81"
"2018_9_26_11_9_4","1","9","5","roll101","3","actual_number: 8; reaction_time: 8.06"
"2018_9_26_11_9_5","1","10","5","roll106","4","actual_number: 8; reaction_time: 4.21"
"2018_9_26_11_9_5","1","5","3","roll306","3","actual_number: 10; reaction_time: 8.6"
"2018_9_26_11_9_13","1","2","1","roll104","3","actual_number: 8; reaction_time: 7.37"
"2018_9_26_11_9_13","1","8","4","roll102","3","actual_number: 8; reaction_time: 10.06"
"2018_9_26_11_9_13","1","3","2","roll104","6","actual_number: 8; reaction_time: 7.34"
"2018_9_26_11_9_14","1","10","5","roll107","2","actual_number: 8; reaction_time: 4.86"
"2018_9_26_11_9_20","1","7","4","roll101","5","actual_number: 8; reaction_time: 6.54"
"2018_9_26_11_9_21","1","3","2","roll105","6","actual_number: 8; reaction_time: 5.75"
"2018_9_26_11_9_22","1","2","1","roll105","2","actual_number: 8; reaction_time: 7.28"
"2018_9_26_11_9_22","1","10","5","roll108","5","actual_number: 8; reaction_time: 5.54"
"2018_9_26_11_9_23","1","8","4","roll103","2","actual_number: 8; reaction_time: 7.45"
"2018_9_26_11_9_23","1","5","3","roll307","1","actual_number: 10; reaction_time: 9.1"
"2018_9_26_11_9_23","1","6","3","roll307","4","actual_number: 10; reaction_time: 11.49"
"2018_9_26_11_9_23","1","9","5","roll102","3","actual_number: 8; reaction_time: 16.29"
"2018_9_26_11_9_29","1","3","2","roll106","6","actual_number: 8; reaction_time: 5.41"
"2018_9_26_11_9_30","1","10","5","roll109","4","actual_number: 8; reaction_time: 4.74"
"2018_9_26_11_9_30","1","1","1","roll101","3","actual_number: 8; reaction_time: 7.81"
"2018_9_26_11_9_32","1","7","4","roll102","6","actual_number: 8; reaction_time: 9.29"
"2018_9_26_11_9_32","1","5","3","roll308","3","actual_number: 10; reaction_time: 6.73"
"2018_9_26_11_9_32","1","2","1","roll106","3","actual_number: 8; reaction_time: 7.37"
"2018_9_26_11_9_33","1","6","3","roll308","6","actual_number: 10; reaction_time: 7.14"
"2018_9_26_11_9_34","1","4","2","roll101","2","actual_number: 8; reaction_time: 5.35"
"2018_9_26_11_9_36","1","8","4","roll104","2","actual_number: 8; reaction_time: 6.12"
"2018_9_26_11_9_37","1","9","5","roll103","3","actual_number: 8; reaction_time: 11.02"
"2018_9_26_11_9_39","1","1","1","roll102","2","actual_number: 8; reaction_time: 6.64"
"2018_9_26_11_9_39","1","10","5","roll110","3","actual_number: 8; reaction_time: 4.49"
"2018_9_26_11_9_40","1","7","4","roll103","4","actual_number: 8; reaction_time: 5.65"
"2018_9_26_11_9_41","1","4","2","roll102","5","actual_number: 8; reaction_time: 4.58"
"2018_9_26_11_9_41","1","3","2","roll107","1","actual_number: 8; reaction_time: 5.96"
"2018_9_26_11_9_42","1","5","3","roll309","3","actual_number: 10; reaction_time: 7.67"
"2018_9_26_11_9_44","1","8","4","roll105","1","actual_number: 8; reaction_time: 5.68"
"2018_9_26_11_9_45","1","2","1","roll107","6","actual_number: 8; reaction_time: 7.95"
"2018_9_26_11_9_46","1","6","3","roll309","5","actual_number: 10; reaction_time: 10.96"
"2018_9_26_11_9_47","1","10","5","roll111","3","actual_number: 8; reaction_time: 4.95"
"2018_9_26_11_9_47","1","1","1","roll103","3","actual_number: 8; reaction_time: 5.92"
"2018_9_26_11_9_48","1","4","2","roll103","3","actual_number: 8; reaction_time: 4.29"
"2018_9_26_11_9_50","1","3","2","roll108","6","actual_number: 8; reaction_time: 5.91"
"2018_9_26_11_9_51","1","9","5","roll104","6","actual_number: 8; reaction_time: 8.03"
"2018_9_26_11_9_53","1","10","5","roll112","5","actual_number: 8; reaction_time: 4.09"
"2018_9_26_11_9_54","1","7","4","roll104","3","actual_number: 8; reaction_time: 7.54"
"2018_9_26_11_9_55","1","8","4","roll106","1","actual_number: 8; reaction_time: 8.24"
"2018_9_26_11_9_56","1","2","1","roll108","5","actual_number: 8; reaction_time: 8.13"
"2018_9_26_11_9_58","1","3","2","roll109","5","actual_number: 8; reaction_time: 6.02"
"2018_9_26_11_10_1","1","4","2","roll104","4","actual_number: 8; reaction_time: 7.18"
"2018_9_26_11_10_1","1","9","5","roll105","1","actual_number: 8; reaction_time: 7.37"
"2018_9_26_11_10_2","1","1","1","roll104","5","actual_number: 8; reaction_time: 7.73"
"2018_9_26_11_10_2","1","7","4","roll105","5","actual_number: 8; reaction_time: 5.59"
"2018_9_26_11_10_3","1","10","5","roll113","4","actual_number: 8; reaction_time: 3.4"
"2018_9_26_11_10_5","1","2","1","roll109","5","actual_number: 8; reaction_time: 6.8"
"2018_9_26_11_10_7","1","4","2","roll105","5","actual_number: 8; reaction_time: 4.33"
"2018_9_26_11_10_8","1","3","2","roll110","3","actual_number: 8; reaction_time: 4.36"
"2018_9_26_11_10_9","1","8","4","roll107","4","actual_number: 8; reaction_time: 9.4"
"2018_9_26_11_10_10","1","10","5","roll114","2","actual_number: 8; reaction_time: 3.75"
"2018_9_26_11_10_11","1","1","1","roll105","1","actual_number: 8; reaction_time: 6.4"
"2018_9_26_11_10_12","1","7","4","roll106","6","actual_number: 8; reaction_time: 7.77"
"2018_9_26_11_10_15","1","4","2","roll106","4","actual_number: 8; reaction_time: 5.14"
"2018_9_26_11_10_15","1","3","2","roll111","1","actual_number: 8; reaction_time: 4.11"
"2018_9_26_11_10_15","1","8","4","roll108","3","actual_number: 8; reaction_time: 4.18"
"2018_9_26_11_10_16","1","10","5","roll115","3","actual_number: 8; reaction_time: 3.72"
"2018_9_26_11_10_18","1","2","1","roll110","2","actual_number: 8; reaction_time: 7.7"
"2018_9_26_11_10_19","1","1","1","roll106","6","actual_number: 8; reaction_time: 5.13"
"2018_9_26_11_10_21","1","3","2","roll112","6","actual_number: 8; reaction_time: 4"
"2018_9_26_11_10_23","1","4","2","roll107","6","actual_number: 8; reaction_time: 3.76"
"2018_9_26_11_10_24","1","7","4","roll107","3","actual_number: 8; reaction_time: 6.95"
