"date","group","subject","team","stage","round","condition","type","response1","error1","comment","RT"
"2018_6_25_22_13_36","96","1","1","1","5","forced","NULL","2","NULL","actual_number: 7","1.62"
"2018_6_25_22_13_39","96","3","2","1","5","forced","NULL","2","NULL","actual_number: 7","2.5"
"2018_6_25_22_13_47","96","4","1","2","5","forced","NULL","2","NULL","actual_number: 7","3.57"
"2018_6_25_22_13_48","96","2","2","2","5","forced","NULL","2","NULL","actual_number: 7","1.4"
"2018_6_25_22_14_3","96","3","2","1","6","forced","NULL","2","NULL","actual_number: 7","1.18"
"2018_6_25_22_14_7","96","1","1","1","6","forced","NULL","3","NULL","actual_number: 7","1.19"
"2018_6_25_22_14_17","96","2","2","2","6","forced","NULL","3","NULL","actual_number: 7","2.5"
"2018_6_25_22_14_19","96","4","1","2","6","forced","NULL","3","NULL","actual_number: 7","1.35"
"2018_6_25_22_16_5","96","1","1","1","7","forced","NULL","1","NULL","actual_number: 7","6.44"
"2018_6_25_22_16_8","96","3","2","1","7","forced","NULL","3","NULL","actual_number: 7","7.55"
"2018_6_25_22_16_15","96","2","1","2","7","forced","NULL","2","NULL","actual_number: 7","3.96"
"2018_6_25_22_16_17","96","4","2","2","7","forced","NULL","4","NULL","actual_number: 7","2.9"
"2018_6_25_22_16_37","96","3","2","1","8","forced","NULL","4","NULL","actual_number: 7","1.33"
"2018_6_25_22_16_43","96","4","2","2","8","forced","NULL","4","NULL","actual_number: 7","2.62"
"2018_6_25_22_16_45","96","1","1","1","8","forced","NULL","4","NULL","actual_number: 7","1.61"
"2018_6_25_22_16_56","96","2","1","2","8","forced","NULL","4","NULL","actual_number: 7","3.75"
"2018_6_25_22_17_6","96","3","2","1","9","forced","NULL","5","NULL","actual_number: 7","7.6"
"2018_6_25_22_17_13","96","4","2","2","9","forced","NULL","5","NULL","actual_number: 7","1.61"
"2018_6_25_22_17_15","96","1","1","1","9","forced","NULL","5","NULL","actual_number: 7","1.92"
"2018_6_25_22_17_22","96","2","1","2","9","forced","NULL","5","NULL","actual_number: 7","2.74"
"2018_6_25_22_20_21","96","1","1","1","10","forced","NULL","1","NULL","actual_number: 7","8.26"
"2018_6_25_22_20_22","96","3","2","1","10","forced","NULL","2","NULL","actual_number: 7","9.22"
"2018_6_25_22_20_33","96","2","2","2","10","forced","NULL","3","NULL","actual_number: 7","3.2"
"2018_6_25_22_20_35","96","4","1","2","10","forced","NULL","4","NULL","actual_number: 7","2.8"
"2018_6_25_22_20_49","96","1","1","1","11","forced","NULL","2","NULL","actual_number: 7","1.21"
"2018_6_25_22_20_51","96","3","2","1","11","forced","NULL","2","NULL","actual_number: 7","1.9"
"2018_6_25_22_20_56","96","4","1","2","11","forced","NULL","2","NULL","actual_number: 7","2.69"
"2018_6_25_22_20_59","96","2","2","2","11","forced","NULL","2","NULL","actual_number: 7","1.55"
"2018_6_25_22_21_15","96","1","1","1","12","forced","NULL","3","NULL","actual_number: 7","2.66"
"2018_6_25_22_21_17","96","3","2","1","12","forced","NULL","3","NULL","actual_number: 7","4.35"
"2018_6_25_22_21_25","96","4","1","2","12","forced","NULL","3","NULL","actual_number: 7","4.47"
"2018_6_25_22_21_27","96","2","2","2","12","forced","NULL","3","NULL","actual_number: 7","1.8"
"2018_6_25_22_23_21","96","1","1","1","13","forced","NULL","4","NULL","actual_number: 7","7.05"
"2018_6_25_22_23_23","96","3","2","1","13","forced","NULL","4","NULL","actual_number: 7","8.55"
"2018_6_25_22_23_36","96","2","1","2","13","forced","NULL","1","NULL","actual_number: 7","1.73"
"2018_6_25_22_23_39","96","4","2","2","13","forced","NULL","2","NULL","actual_number: 7","3.01"
"2018_6_25_22_23_52","96","1","1","1","14","forced","NULL","5","NULL","actual_number: 7","1.22"
"2018_6_25_22_23_58","96","3","2","1","14","forced","NULL","5","NULL","actual_number: 7","2.62"
"2018_6_25_22_24_4","96","2","1","2","14","forced","NULL","5","NULL","actual_number: 7","2.63"
"2018_6_25_22_24_6","96","4","2","2","14","forced","NULL","5","NULL","actual_number: 7","1.66"
"2018_6_25_22_24_21","96","3","2","1","15","forced","NULL","6","NULL","actual_number: 7","1.77"
"2018_6_25_22_24_23","96","1","1","1","15","forced","NULL","6","NULL","actual_number: 7","2.63"
"2018_6_25_22_24_30","96","4","2","2","15","forced","NULL","6","NULL","actual_number: 7","1.86"
"2018_6_25_22_24_39","96","2","1","2","15","forced","NULL","6","NULL","actual_number: 7","2.31"
"2018_6_25_22_26_37","96","1","1","1","16","forced","NULL","1","NULL","actual_number: 7","6.38"
"2018_6_25_22_26_39","96","3","2","1","16","forced","NULL","3","NULL","actual_number: 7","7.65"
"2018_6_25_22_26_48","96","4","1","2","16","forced","NULL","4","NULL","actual_number: 7","1.79"
"2018_6_25_22_26_53","96","2","2","2","16","forced","NULL","2","NULL","actual_number: 7","2.82"
"2018_6_25_22_27_4","96","1","1","1","17","forced","NULL","1","NULL","actual_number: 7","1.72"
"2018_6_25_22_28_11","96","3","2","1","17","forced","NULL","1","NULL","actual_number: 7","59.77"
"2018_6_25_22_28_16","96","4","1","2","17","forced","NULL","1","NULL","actual_number: 7","1.81"
"2018_6_25_22_28_27","96","2","2","2","17","forced","NULL","1","NULL","actual_number: 7","7.37"
"2018_6_25_22_28_36","96","1","1","1","18","forced","NULL","3","NULL","actual_number: 7","5"
"2018_6_25_22_28_40","96","3","2","1","18","forced","NULL","3","NULL","actual_number: 7","1.22"
"2018_6_25_22_28_49","96","4","1","2","18","forced","NULL","3","NULL","actual_number: 7","1.89"
"2018_6_25_22_28_50","96","2","2","2","18","forced","NULL","3","NULL","actual_number: 7","3.69"
"2018_6_25_22_30_42","96","1","1","1","19","forced","NULL","1","NULL","actual_number: 7","7.77"
"2018_6_25_22_30_44","96","3","2","1","19","forced","NULL","3","NULL","actual_number: 7","8.68"
"2018_6_25_22_30_51","96","4","1","2","19","forced","NULL","4","NULL","actual_number: 7","1.43"
"2018_6_25_22_30_58","96","2","2","2","19","forced","NULL","2","NULL","actual_number: 7","2.9"
"2018_6_25_22_31_10","96","1","1","1","20","forced","NULL","2","NULL","actual_number: 7","1.91"
"2018_6_25_22_31_15","96","3","2","1","20","forced","NULL","2","NULL","actual_number: 7","1.77"
"2018_6_25_22_31_21","96","4","1","2","20","forced","NULL","2","NULL","actual_number: 7","1.61"
"2018_6_25_22_31_27","96","2","2","2","20","forced","NULL","2","NULL","actual_number: 7","3.62"
"2018_6_25_22_31_36","96","1","1","1","21","forced","NULL","3","NULL","actual_number: 7","1.33"
"2018_6_25_22_31_42","96","3","2","1","21","forced","NULL","3","NULL","actual_number: 7","2.89"
"2018_6_25_22_31_44","96","4","1","2","21","forced","NULL","3","NULL","actual_number: 7","2.59"
"2018_6_25_22_31_57","96","2","2","2","21","forced","NULL","3","NULL","actual_number: 7","1.52"
"2018_6_25_22_32_17","96","1","1","1","22","forced","NULL","4","NULL","actual_number: 7","1.88"
"2018_6_25_22_32_27","96","4","1","2","22","forced","NULL","4","NULL","actual_number: 7","3.51"
"2018_6_25_22_32_39","96","3","2","1","22","forced","NULL","4","NULL","actual_number: 7","1.87"
"2018_6_25_22_32_41","96","1","1","1","23","forced","NULL","5","NULL","actual_number: 7","1.32"
"2018_6_25_22_32_46","96","2","2","2","22","forced","NULL","4","NULL","actual_number: 7","1.09"
"2018_6_25_22_32_56","96","4","1","2","23","forced","NULL","5","NULL","actual_number: 7","7.05"
"2018_6_25_22_33_1","96","3","2","1","23","forced","NULL","5","NULL","actual_number: 7","1.22"
"2018_6_25_22_33_13","96","2","2","2","23","forced","NULL","5","NULL","actual_number: 7","1.6"
"2018_6_25_22_33_17","96","1","1","1","24","forced","NULL","6","NULL","actual_number: 7","5.95"
"2018_6_25_22_33_26","96","4","1","2","24","forced","NULL","6","NULL","actual_number: 7","1.5"
"2018_6_25_22_33_42","96","3","2","1","24","forced","NULL","6","NULL","actual_number: 7","2.11"
"2018_6_25_22_33_52","96","2","2","2","24","forced","NULL","6","NULL","actual_number: 7","1.79"
"2018_6_25_22_34_6","96","1","1","1","25","forced","NULL","1","NULL","actual_number: 7","1.43"
"2018_6_25_22_34_18","96","4","1","2","25","forced","NULL","4","NULL","actual_number: 7","4.05"
"2018_6_25_22_34_32","96","3","2","1","25","forced","NULL","3","NULL","actual_number: 7","1.68"
"2018_6_25_22_34_40","96","2","2","2","25","forced","NULL","2","NULL","actual_number: 7","1.27"
"2018_6_25_22_34_50","96","1","1","1","26","forced","NULL","4","NULL","actual_number: 7","17.52"
"2018_6_25_22_35_1","96","4","1","2","26","forced","NULL","5","NULL","actual_number: 7","2.7"
"2018_6_25_22_35_6","96","3","2","1","26","forced","NULL","4","NULL","actual_number: 7","2.71"
"2018_6_25_22_35_18","96","2","2","2","26","forced","NULL","5","NULL","actual_number: 7","1.82"
"2018_6_25_22_35_19","96","1","1","1","27","forced","NULL","6","NULL","actual_number: 7","3.15"
"2018_6_25_22_35_27","96","4","1","2","27","forced","NULL","6","NULL","actual_number: 7","2.39"
"2018_6_25_22_35_33","96","3","2","1","27","forced","NULL","6","NULL","actual_number: 7","3"
"2018_6_25_22_35_42","96","2","2","2","27","forced","NULL","6","NULL","actual_number: 7","4.25"
"2018_6_25_22_36_55","96","1","1","1","28","forced","NULL","1","NULL","actual_number: 7","4.12"
"2018_6_25_22_37_11","96","3","2","1","28","forced","NULL","3","NULL","actual_number: 7","2.27"
"2018_6_25_22_37_27","96","2","1","2","28","forced","NULL","2","NULL","actual_number: 7","9.12"
"2018_6_25_22_37_30","96","4","2","2","28","forced","NULL","4","NULL","actual_number: 7","10.98"
"2018_6_25_22_37_43","96","1","1","1","29","forced","NULL","1","NULL","actual_number: 7","2.01"
"2018_6_25_22_37_53","96","3","2","1","29","forced","NULL","3","NULL","actual_number: 7","4.28"
"2018_6_25_22_38_1","96","2","1","2","29","forced","NULL","2","NULL","actual_number: 7","2.53"
"2018_6_25_22_38_6","96","4","2","2","29","forced","NULL","4","NULL","actual_number: 7","3.38"
"2018_6_25_22_38_22","96","1","1","1","30","forced","NULL","3","NULL","actual_number: 7","3.57"
"2018_6_25_22_38_24","96","3","2","1","30","forced","NULL","3","NULL","actual_number: 7","4.16"
"2018_6_25_22_38_33","96","2","1","2","30","forced","NULL","3","NULL","actual_number: 7","1.89"
