"date","group","subject","team","stage","round","condition","type","response1","error1","comment","RT"
"2018_9_26_11_22_42","1","2","1","2","8","forced","NULL","1","NULL","actual_number: 7","7.19"
"2018_9_26_11_23_4","1","1","1","1","9","forced","NULL","2","NULL","actual_number: 7","4.02"
"2018_9_26_11_23_17","1","2","1","2","9","forced","NULL","6","NULL","actual_number: 7","6.15"
"2018_9_26_11_23_18","1","9","5","1","1","forced","NULL","6","NULL","actual_number: 7","9.06"
"2018_9_26_11_23_28","1","5","3","1","7","forced","NULL","6","NULL","actual_number: 7","9.15"
"2018_9_26_11_23_36","1","10","5","2","1","forced","NULL","3","NULL","actual_number: 7","5.69"
"2018_9_26_11_23_39","1","6","3","2","7","forced","NULL","6","NULL","actual_number: 7","4.65"
"2018_9_26_11_24_2","1","9","5","1","2","forced","NULL","4","NULL","actual_number: 7","6.14"
"2018_9_26_11_24_7","1","5","3","1","8","forced","NULL","5","NULL","actual_number: 7","7.45"
"2018_9_26_11_24_10","1","10","5","2","2","forced","NULL","3","NULL","actual_number: 7","2.95"
"2018_9_26_11_24_24","1","6","3","2","8","forced","NULL","5","NULL","actual_number: 7","11.9"
"2018_9_26_11_24_30","1","9","5","1","3","forced","NULL","4","NULL","actual_number: 7","7.04"
"2018_9_26_11_24_42","1","10","5","2","3","forced","NULL","1","NULL","actual_number: 7","5.13"
"2018_9_26_11_24_51","1","5","3","1","9","forced","NULL","5","NULL","actual_number: 7","8.34"
"2018_9_26_11_25_7","1","6","3","2","9","forced","NULL","6","NULL","actual_number: 7","8.94"
"2018_9_26_11_25_18","1","9","5","1","4","forced","NULL","6","NULL","actual_number: 7","5.46"
"2018_9_26_11_25_26","1","10","5","2","4","forced","NULL","3","NULL","actual_number: 7","2.71"
"2018_9_26_11_25_43","1","9","5","1","5","forced","NULL","6","NULL","actual_number: 7","5.34"
"2018_9_26_11_25_54","1","10","5","2","5","forced","NULL","3","NULL","actual_number: 7","3.24"
"2018_9_26_11_26_12","1","9","5","1","6","forced","NULL","6","NULL","actual_number: 7","5.71"
"2018_9_26_11_26_22","1","10","5","2","6","forced","NULL","5","NULL","actual_number: 7","4.49"
"2018_9_26_11_27_8","1","9","5","1","7","forced","NULL","3","NULL","actual_number: 7","8.01"
"2018_9_26_11_27_17","1","10","5","2","7","forced","NULL","5","NULL","actual_number: 7","2.66"
"2018_9_26_11_27_41","1","9","5","1","8","forced","NULL","5","NULL","actual_number: 7","8.61"
"2018_9_26_11_27_52","1","10","5","2","8","forced","NULL","3","NULL","actual_number: 7","3.73"
"2018_9_26_11_28_16","1","9","5","1","9","forced","NULL","5","NULL","actual_number: 7","9.86"
"2018_9_26_11_28_29","1","10","5","2","9","forced","NULL","1","NULL","actual_number: 7","3.69"
"2018_9_26_11_29_20","1","3","2","1","10","forced","NULL","6","NULL","actual_number: 7","6.36"
"2018_9_26_11_29_24","1","1","1","1","10","forced","NULL","1","NULL","actual_number: 7","7"
"2018_9_26_11_29_25","1","7","4","1","10","forced","NULL","4","NULL","actual_number: 7","6.21"
"2018_9_26_11_29_30","1","5","3","1","10","forced","NULL","4","NULL","actual_number: 7","8.23"
"2018_9_26_11_29_41","1","4","3","2","10","forced","NULL","1","NULL","actual_number: 7","4.4"
"2018_9_26_11_29_42","1","2","2","2","10","forced","NULL","3","NULL","actual_number: 7","10.38"
"2018_9_26_11_29_44","1","6","4","2","10","forced","NULL","4","NULL","actual_number: 7","5.34"
"2018_9_26_11_29_52","1","10","1","2","10","forced","NULL","1","NULL","actual_number: 7","2.22"
"2018_9_26_11_29_59","1","9","5","1","10","forced","NULL","3","NULL","actual_number: 7","7.57"
"2018_9_26_11_30_2","1","5","3","1","11","forced","NULL","1","NULL","actual_number: 7","7.44"
"2018_9_26_11_30_5","1","7","4","1","11","forced","NULL","6","NULL","actual_number: 7","8.44"
"2018_9_26_11_30_7","1","3","2","1","11","forced","NULL","2","NULL","actual_number: 7","6.94"
"2018_9_26_11_30_10","1","1","1","1","11","forced","NULL","3","NULL","actual_number: 7","4.29"
"2018_9_26_11_30_11","1","4","3","2","11","forced","NULL","4","NULL","actual_number: 7","2.7"
"2018_9_26_11_30_12","1","8","5","2","10","forced","NULL","6","NULL","actual_number: 7","3.81"
"2018_9_26_11_30_19","1","10","1","2","11","forced","NULL","3","NULL","actual_number: 7","2.85"
"2018_9_26_11_30_22","1","2","2","2","11","forced","NULL","2","NULL","actual_number: 7","9.03"
"2018_9_26_11_30_25","1","6","4","2","11","forced","NULL","5","NULL","actual_number: 7","6.16"
"2018_9_26_11_30_34","1","5","3","1","12","forced","NULL","6","NULL","actual_number: 7","6.92"
"2018_9_26_11_30_34","1","9","5","1","11","forced","NULL","6","NULL","actual_number: 7","7.09"
"2018_9_26_11_30_40","1","1","1","1","12","forced","NULL","2","NULL","actual_number: 7","5.9"
"2018_9_26_11_30_42","1","8","5","2","11","forced","NULL","4","NULL","actual_number: 7","1.67"
"2018_9_26_11_30_42","1","4","3","2","12","forced","NULL","6","NULL","actual_number: 7","2.52"
"2018_9_26_11_30_44","1","3","2","1","12","forced","NULL","1","NULL","actual_number: 7","6.16"
"2018_9_26_11_30_50","1","10","1","2","12","forced","NULL","6","NULL","actual_number: 7","3.03"
"2018_9_26_11_30_51","1","7","4","1","12","forced","NULL","4","NULL","actual_number: 7","10.67"
"2018_9_26_11_30_58","1","2","2","2","12","forced","NULL","3","NULL","actual_number: 7","7.93"
"2018_9_26_11_31_0","1","9","5","1","12","forced","NULL","5","NULL","actual_number: 7","5.61"
"2018_9_26_11_31_8","1","8","5","2","12","forced","NULL","5","NULL","actual_number: 7","1.22"
"2018_9_26_11_31_9","1","6","4","2","12","forced","NULL","4","NULL","actual_number: 7","11.92"
"2018_9_26_11_31_36","1","5","3","1","13","forced","NULL","4","NULL","actual_number: 7","9.08"
