Session,SessionSubject,Team,MoverNo,RoundNo,Report,RT,Order,Block,Rewards,Effort,Double,ParticipantId
11,6,3,2,7,6,12.57,1,1,FirstMover,LowEffort,0,oozy_skink
11,7,4,1,7,5,3.6,1,1,FirstMover,LowEffort,0,happy_lark
11,8,4,2,7,3,4.21,1,1,FirstMover,LowEffort,0,loopy_cub
11,9,5,1,7,5,3.47,1,1,FirstMover,LowEffort,1,wavy_coypu
11,10,5,2,7,5,8.5,1,1,FirstMover,LowEffort,1,well_orca
11,11,6,1,7,5,3.43,1,1,FirstMover,LowEffort,0,cute_yapok
11,12,6,2,7,3,4.75,1,1,FirstMover,LowEffort,0,regal_asp
11,1,1,1,8,5,3.51,1,1,FirstMover,LowEffort,0,fishy_clam
11,2,1,2,8,4,1.67,1,1,FirstMover,LowEffort,0,nerdy_joey
11,3,2,1,8,4,2.02,1,1,FirstMover,LowEffort,1,coy_kite
11,4,2,2,8,4,14.04,1,1,FirstMover,LowEffort,1,scary_pony
11,5,3,1,8,4,3.37,1,1,FirstMover,LowEffort,0,taut_geese
11,6,3,2,8,3,5.44,1,1,FirstMover,LowEffort,0,oozy_skink
11,7,4,1,8,6,3.45,1,1,FirstMover,LowEffort,1,happy_lark
11,8,4,2,8,6,2.96,1,1,FirstMover,LowEffort,1,loopy_cub
11,9,5,1,8,4,2.56,1,1,FirstMover,LowEffort,0,wavy_coypu
11,10,5,2,8,3,9.35,1,1,FirstMover,LowEffort,0,well_orca
11,11,6,1,8,4,3.26,1,1,FirstMover,LowEffort,0,cute_yapok
11,12,6,2,8,6,2.33,1,1,FirstMover,LowEffort,0,regal_asp
11,1,1,1,9,4,5.03,1,1,FirstMover,LowEffort,0,fishy_clam
11,2,1,2,9,1,3.62,1,1,FirstMover,LowEffort,0,nerdy_joey
11,3,2,1,9,3,1.79,1,1,FirstMover,LowEffort,1,coy_kite
11,4,2,2,9,3,2.55,1,1,FirstMover,LowEffort,1,scary_pony
11,5,3,1,9,4,5.86,1,1,FirstMover,LowEffort,0,taut_geese
11,6,3,2,9,2,5.34,1,1,FirstMover,LowEffort,0,oozy_skink
11,7,4,1,9,6,2.79,1,1,FirstMover,LowEffort,1,happy_lark
11,8,4,2,9,6,5.18,1,1,FirstMover,LowEffort,1,loopy_cub
11,9,5,1,9,5,3.14,1,1,FirstMover,LowEffort,1,wavy_coypu
11,10,5,2,9,5,6.23,1,1,FirstMover,LowEffort,1,well_orca
11,11,6,1,9,3,2.84,1,1,FirstMover,LowEffort,1,cute_yapok
11,12,6,2,9,3,1.47,1,1,FirstMover,LowEffort,1,regal_asp
