group,subject,date,team,round,RT,Report,stage,ID.number,PlayerNo,Condition,HighEffort,LowEffort,Order,ShortPartnership,LongPartnership,Double,Age,Gender,H.Hexaco,E.Hexaco,X.Hexaco,A.Hexaco,C.Hexaco,O.Hexaco,SoMi,Study,Continent,ReportFirstMover,zcReportFirstMover,Effort,Partnership
17,10,2018_9_26_11_25_54,5,5,3.24,3,2,21661,Second Mover,Collaborative,0,1,Mirror,0,1,0,20,1,2.8,4.8,3.5,3.2,3,4.1,2.6666666666666665,Business,Europe,6,1.5083979328165373,Low Effort,Long Partnership
17,2,2018_9_26_11_21_16,1,6,8.98,2,2,22634,Second Mover,Collaborative,0,1,Mirror,0,1,0,24,0,4.3,3.7,4.2,3.7,3.6,5.3,3,Business,Asia,6,1.5083979328165373,Low Effort,Long Partnership
17,4,2018_9_26_11_20_1,2,6,4.28,5,2,18991,Second Mover,Collaborative,0,1,Mirror,0,1,0,21,1,4.3,4.2,4.8,4.6,5,5.1,2.5,Economics,Europe,4,-0.49160206718346267,Low Effort,Long Partnership
17,6,2018_9_26_11_22_41,3,6,3.92,3,2,22687,Second Mover,Collaborative,0,1,Mirror,0,1,0,22,1,3.8,4.8,4.2,4.4,3.9,4.2,2.6666666666666665,Science,Asia,1,-3.4916020671834627,Low Effort,Long Partnership
17,8,2018_9_26_11_17_46,4,6,6.07,4,2,20543,Second Mover,Collaborative,0,1,Mirror,0,1,0,21,1,4,4.1,4.5,4.3,4.6,4.8,2.75,Science,Asia,5,0.5083979328165373,Low Effort,Long Partnership
17,10,2018_9_26_11_26_22,5,6,4.49,5,2,21661,Second Mover,Collaborative,0,1,Mirror,0,1,0,20,1,2.8,4.8,3.5,3.2,3,4.1,2.6666666666666665,Business,Europe,6,1.5083979328165373,Low Effort,Long Partnership
17,2,2018_9_26_11_22_6,1,7,8.35,4,2,22634,Second Mover,Collaborative,0,1,Mirror,0,1,0,24,0,4.3,3.7,4.2,3.7,3.6,5.3,3,Business,Asia,6,1.5083979328165373,Low Effort,Long Partnership
17,4,2018_9_26_11_20_48,2,7,2.25,5,2,18991,Second Mover,Collaborative,0,1,Mirror,0,1,0,21,1,4.3,4.2,4.8,4.6,5,5.1,2.5,Economics,Europe,1,-3.4916020671834627,Low Effort,Long Partnership
17,6,2018_9_26_11_23_39,3,7,4.65,6,2,22687,Second Mover,Collaborative,0,1,Mirror,0,1,1,22,1,3.8,4.8,4.2,4.4,3.9,4.2,2.6666666666666665,Science,Asia,6,1.5083979328165373,Low Effort,Long Partnership
17,8,2018_9_26_11_18_48,4,7,1.27,2,2,20543,Second Mover,Collaborative,0,1,Mirror,0,1,0,21,1,4,4.1,4.5,4.3,4.6,4.8,2.75,Science,Asia,6,1.5083979328165373,Low Effort,Long Partnership
17,10,2018_9_26_11_27_17,5,7,2.66,5,2,21661,Second Mover,Collaborative,0,1,Mirror,0,1,0,20,1,2.8,4.8,3.5,3.2,3,4.1,2.6666666666666665,Business,Europe,3,-1.4916020671834627,Low Effort,Long Partnership
17,2,2018_9_26_11_22_42,1,8,7.19,1,2,22634,Second Mover,Collaborative,0,1,Mirror,0,1,0,24,0,4.3,3.7,4.2,3.7,3.6,5.3,3,Business,Asia,4,-0.49160206718346267,Low Effort,Long Partnership
17,4,2018_9_26_11_21_11,2,8,4.06,6,2,18991,Second Mover,Collaborative,0,1,Mirror,0,1,0,21,1,4.3,4.2,4.8,4.6,5,5.1,2.5,Economics,Europe,5,0.5083979328165373,Low Effort,Long Partnership
17,6,2018_9_26_11_24_24,3,8,11.9,5,2,22687,Second Mover,Collaborative,0,1,Mirror,0,1,1,22,1,3.8,4.8,4.2,4.4,3.9,4.2,2.6666666666666665,Science,Asia,5,0.5083979328165373,Low Effort,Long Partnership
17,8,2018_9_26_11_19_19,4,8,4.09,5,2,20543,Second Mover,Collaborative,0,1,Mirror,0,1,0,21,1,4,4.1,4.5,4.3,4.6,4.8,2.75,Science,Asia,4,-0.49160206718346267,Low Effort,Long Partnership
17,10,2018_9_26_11_27_52,5,8,3.73,3,2,21661,Second Mover,Collaborative,0,1,Mirror,0,1,0,20,1,2.8,4.8,3.5,3.2,3,4.1,2.6666666666666665,Business,Europe,5,0.5083979328165373,Low Effort,Long Partnership
17,2,2018_9_26_11_23_17,1,9,6.15,6,2,22634,Second Mover,Collaborative,0,1,Mirror,0,1,0,24,0,4.3,3.7,4.2,3.7,3.6,5.3,3,Business,Asia,2,-2.4916020671834627,Low Effort,Long Partnership
17,4,2018_9_26_11_21_40,2,9,4.26,2,2,18991,Second Mover,Collaborative,0,1,Mirror,0,1,0,21,1,4.3,4.2,4.8,4.6,5,5.1,2.5,Economics,Europe,4,-0.49160206718346267,Low Effort,Long Partnership
17,6,2018_9_26_11_25_7,3,9,8.94,6,2,22687,Second Mover,Collaborative,0,1,Mirror,0,1,0,22,1,3.8,4.8,4.2,4.4,3.9,4.2,2.6666666666666665,Science,Asia,5,0.5083979328165373,Low Effort,Long Partnership
17,8,2018_9_26_11_19_42,4,9,1.23,6,2,20543,Second Mover,Collaborative,0,1,Mirror,0,1,1,21,1,4,4.1,4.5,4.3,4.6,4.8,2.75,Science,Asia,6,1.5083979328165373,Low Effort,Long Partnership
17,10,2018_9_26_11_28_29,5,9,3.69,1,2,21661,Second Mover,Collaborative,0,1,Mirror,0,1,0,20,1,2.8,4.8,3.5,3.2,3,4.1,2.6666666666666665,Business,Europe,5,0.5083979328165373,Low Effort,Long Partnership
17,10,2018_9_26_11_29_52,1,10,2.22,1,2,21661,Second Mover,Collaborative,1,0,Mirror,0,1,1,20,1,2.8,4.8,3.5,3.2,3,4.1,2.6666666666666665,Business,Europe,1,-3.4916020671834627,High Effort,Long Partnership
17,2,2018_9_26_11_29_42,2,10,10.38,3,2,22634,Second Mover,Collaborative,1,0,Mirror,0,1,0,24,0,4.3,3.7,4.2,3.7,3.6,5.3,3,Business,Asia,6,1.5083979328165373,High Effort,Long Partnership
17,4,2018_9_26_11_29_41,3,10,4.4,1,2,18991,Second Mover,Collaborative,1,0,Mirror,0,1,0,21,1,4.3,4.2,4.8,4.6,5,5.1,2.5,Economics,Europe,4,-0.49160206718346267,High Effort,Long Partnership
17,6,2018_9_26_11_29_44,4,10,5.34,4,2,22687,Second Mover,Collaborative,1,0,Mirror,0,1,1,22,1,3.8,4.8,4.2,4.4,3.9,4.2,2.6666666666666665,Science,Asia,4,-0.49160206718346267,High Effort,Long Partnership
17,8,2018_9_26_11_30_12,5,10,3.81,6,2,20543,Second Mover,Collaborative,1,0,Mirror,0,1,0,21,1,4,4.1,4.5,4.3,4.6,4.8,2.75,Science,Asia,3,-1.4916020671834627,High Effort,Long Partnership
17,10,2018_9_26_11_30_19,1,11,2.85,3,2,21661,Second Mover,Collaborative,1,0,Mirror,0,1,1,20,1,2.8,4.8,3.5,3.2,3,4.1,2.6666666666666665,Business,Europe,3,-1.4916020671834627,High Effort,Long Partnership
17,2,2018_9_26_11_30_22,2,11,9.03,2,2,22634,Second Mover,Collaborative,1,0,Mirror,0,1,1,24,0,4.3,3.7,4.2,3.7,3.6,5.3,3,Business,Asia,2,-2.4916020671834627,High Effort,Long Partnership
17,4,2018_9_26_11_30_11,3,11,2.7,4,2,18991,Second Mover,Collaborative,1,0,Mirror,0,1,0,21,1,4.3,4.2,4.8,4.6,5,5.1,2.5,Economics,Europe,1,-3.4916020671834627,High Effort,Long Partnership
17,6,2018_9_26_11_30_25,4,11,6.16,5,2,22687,Second Mover,Collaborative,1,0,Mirror,0,1,0,22,1,3.8,4.8,4.2,4.4,3.9,4.2,2.6666666666666665,Science,Asia,6,1.5083979328165373,High Effort,Long Partnership
17,8,2018_9_26_11_30_42,5,11,1.67,4,2,20543,Second Mover,Collaborative,1,0,Mirror,0,1,0,21,1,4,4.1,4.5,4.3,4.6,4.8,2.75,Science,Asia,6,1.5083979328165373,High Effort,Long Partnership
17,10,2018_9_26_11_30_50,1,12,3.03,6,2,21661,Second Mover,Collaborative,1,0,Mirror,0,1,0,20,1,2.8,4.8,3.5,3.2,3,4.1,2.6666666666666665,Business,Europe,2,-2.4916020671834627,High Effort,Long Partnership
17,2,2018_9_26_11_30_58,2,12,7.93,3,2,22634,Second Mover,Collaborative,1,0,Mirror,0,1,0,24,0,4.3,3.7,4.2,3.7,3.6,5.3,3,Business,Asia,1,-3.4916020671834627,High Effort,Long Partnership
17,4,2018_9_26_11_30_42,3,12,2.52,6,2,18991,Second Mover,Collaborative,1,0,Mirror,0,1,1,21,1,4.3,4.2,4.8,4.6,5,5.1,2.5,Economics,Europe,6,1.5083979328165373,High Effort,Long Partnership
17,6,2018_9_26_11_31_9,4,12,11.92,4,2,22687,Second Mover,Collaborative,1,0,Mirror,0,1,1,22,1,3.8,4.8,4.2,4.4,3.9,4.2,2.6666666666666665,Science,Asia,4,-0.49160206718346267,High Effort,Long Partnership
17,8,2018_9_26_11_31_8,5,12,1.22,5,2,20543,Second Mover,Collaborative,1,0,Mirror,0,1,1,21,1,4,4.1,4.5,4.3,4.6,4.8,2.75,Science,Asia,5,0.5083979328165373,High Effort,Long Partnership
17,10,2018_9_26_11_31_47,1,13,3.91,3,2,21661,Second Mover,Collaborative,1,0,Mirror,0,1,0,20,1,2.8,4.8,3.5,3.2,3,4.1,2.6666666666666665,Business,Europe,6,1.5083979328165373,High Effort,Long Partnership
17,2,2018_9_26_11_32_0,2,13,6.8,6,2,22634,Second Mover,Collaborative,1,0,Mirror,0,1,0,24,0,4.3,3.7,4.2,3.7,3.6,5.3,3,Business,Asia,5,0.5083979328165373,High Effort,Long Partnership
17,4,2018_9_26_11_31_43,3,13,2.34,5,2,18991,Second Mover,Collaborative,1,0,Mirror,0,1,0,21,1,4.3,4.2,4.8,4.6,5,5.1,2.5,Economics,Europe,4,-0.49160206718346267,High Effort,Long Partnership
17,6,2018_9_26_11_32_27,4,13,3.68,5,2,22687,Second Mover,Collaborative,1,0,Mirror,0,1,1,22,1,3.8,4.8,4.2,4.4,3.9,4.2,2.6666666666666665,Science,Asia,5,0.5083979328165373,High Effort,Long Partnership
17,8,2018_9_26_11_32_9,5,13,5.34,4,2,20543,Second Mover,Collaborative,1,0,Mirror,0,1,0,21,1,4,4.1,4.5,4.3,4.6,4.8,2.75,Science,Asia,6,1.5083979328165373,High Effort,Long Partnership
17,10,2018_9_26_11_32_10,1,14,2.75,6,2,21661,Second Mover,Collaborative,1,0,Mirror,0,1,1,20,1,2.8,4.8,3.5,3.2,3,4.1,2.6666666666666665,Business,Europe,6,1.5083979328165373,High Effort,Long Partnership
17,2,2018_9_26_11_32_33,2,14,9.97,4,2,22634,Second Mover,Collaborative,1,0,Mirror,0,1,0,24,0,4.3,3.7,4.2,3.7,3.6,5.3,3,Business,Asia,5,0.5083979328165373,High Effort,Long Partnership
17,4,2018_9_26_11_32_14,3,14,2.52,6,2,18991,Second Mover,Collaborative,1,0,Mirror,0,1,0,21,1,4.3,4.2,4.8,4.6,5,5.1,2.5,Economics,Europe,4,-0.49160206718346267,High Effort,Long Partnership
17,6,2018_9_26_11_32_58,4,14,4.13,3,2,22687,Second Mover,Collaborative,1,0,Mirror,0,1,1,22,1,3.8,4.8,4.2,4.4,3.9,4.2,2.6666666666666665,Science,Asia,3,-1.4916020671834627,High Effort,Long Partnership
