Session,SessionSubject,Team,MoverNo,RoundNo,Report,RT,Order,Block,Rewards,Effort,Double,ParticipantId
11,9,5,1,13,4,2.78,1,2,FirstMover,HighEffort,0,silly_steer
11,11,6,1,13,1,3.17,1,2,FirstMover,HighEffort,0,prime_eyra
11,1,1,1,14,5,3.73,1,2,FirstMover,HighEffort,1,rapt_jenny
11,3,2,1,14,6,2.27,1,2,FirstMover,HighEffort,1,comic_esok
11,5,3,1,14,6,3.09,1,2,FirstMover,HighEffort,1,lucky_tiger
11,7,4,1,14,2,2.21,1,2,FirstMover,HighEffort,0,picky_bunny
11,9,5,1,14,6,2.07,1,2,FirstMover,HighEffort,0,silly_steer
11,11,6,1,14,1,3.12,1,2,FirstMover,HighEffort,1,prime_eyra
11,1,1,1,15,5,4.35,1,2,FirstMover,HighEffort,1,rapt_jenny
11,3,2,1,15,3,1.63,1,2,FirstMover,HighEffort,0,comic_esok
11,5,3,1,15,6,3.77,1,2,FirstMover,HighEffort,1,lucky_tiger
11,7,4,1,15,6,2.37,1,2,FirstMover,HighEffort,0,picky_bunny
11,9,5,1,15,5,3.61,1,2,FirstMover,HighEffort,1,silly_steer
11,11,6,1,15,2,4.84,1,2,FirstMover,HighEffort,1,prime_eyra
11,1,1,1,16,6,7.38,1,2,FirstMover,HighEffort,1,rapt_jenny
11,3,2,1,16,6,2.59,1,2,FirstMover,HighEffort,0,comic_esok
11,5,3,1,16,6,3.93,1,2,FirstMover,HighEffort,1,lucky_tiger
11,7,4,1,16,4,6.38,1,2,FirstMover,HighEffort,1,picky_bunny
11,9,5,1,16,2,3.39,1,2,FirstMover,HighEffort,0,silly_steer
11,11,6,1,16,1,5.19,1,2,FirstMover,HighEffort,0,prime_eyra
11,1,1,1,17,3,4.45,1,2,FirstMover,HighEffort,0,rapt_jenny
11,3,2,1,17,4,5.21,1,2,FirstMover,HighEffort,0,comic_esok
11,5,3,1,17,6,18.1,1,2,FirstMover,HighEffort,0,lucky_tiger
11,7,4,1,17,3,4.08,1,2,FirstMover,HighEffort,0,picky_bunny
11,9,5,1,17,2,2.1,1,2,FirstMover,HighEffort,0,silly_steer
11,11,6,1,17,2,4.63,1,2,FirstMover,HighEffort,1,prime_eyra
11,1,1,1,18,6,2.92,1,2,FirstMover,HighEffort,0,rapt_jenny
11,3,2,1,18,3,3.31,1,2,FirstMover,HighEffort,0,comic_esok
11,5,3,1,18,5,8.58,1,2,FirstMover,HighEffort,1,lucky_tiger
11,7,4,1,18,4,3.25,1,2,FirstMover,HighEffort,0,picky_bunny
11,9,5,1,18,5,3.17,1,2,FirstMover,HighEffort,1,silly_steer
11,11,6,1,18,3,3.13,1,2,FirstMover,HighEffort,0,prime_eyra
11,1,1,1,19,5,3.45,1,3,Joint,HighEffort,0,rapt_jenny
11,3,2,1,19,4,4.32,1,3,Joint,HighEffort,1,comic_esok
11,5,3,1,19,6,2.5,1,3,Joint,HighEffort,0,lucky_tiger
11,7,4,1,19,5,4.29,1,3,Joint,HighEffort,1,picky_bunny
11,9,5,1,19,6,5.11,1,3,Joint,HighEffort,0,silly_steer
11,11,6,1,19,3,2.55,1,3,Joint,HighEffort,0,prime_eyra
11,1,1,1,20,4,3.09,1,3,Joint,HighEffort,1,rapt_jenny
11,3,2,1,20,6,3.87,1,3,Joint,HighEffort,1,comic_esok
11,5,3,1,20,6,5.11,1,3,Joint,HighEffort,1,lucky_tiger
11,7,4,1,20,4,2.77,1,3,Joint,HighEffort,1,picky_bunny
11,9,5,1,20,5,3.62,1,3,Joint,HighEffort,0,silly_steer
11,11,6,1,20,6,1.7,1,3,Joint,HighEffort,1,prime_eyra
11,1,1,1,21,6,2.51,1,3,Joint,HighEffort,1,rapt_jenny
11,3,2,1,21,5,3.73,1,3,Joint,HighEffort,0,comic_esok
11,5,3,1,21,6,5.08,1,3,Joint,HighEffort,1,lucky_tiger
11,7,4,1,21,6,6.97,1,3,Joint,HighEffort,1,picky_bunny
11,9,5,1,21,3,4.08,1,3,Joint,HighEffort,1,silly_steer
11,11,6,1,21,6,3.25,1,3,Joint,HighEffort,1,prime_eyra
11,1,1,1,22,4,2.83,1,3,Joint,HighEffort,0,rapt_jenny
11,3,2,1,22,5,4.28,1,3,Joint,HighEffort,1,comic_esok
11,5,3,1,22,6,12.4,1,3,Joint,HighEffort,1,lucky_tiger
11,7,4,1,22,5,4.06,1,3,Joint,HighEffort,1,picky_bunny
11,9,5,1,22,6,18.14,1,3,Joint,HighEffort,0,silly_steer
11,11,6,1,22,6,2.51,1,3,Joint,HighEffort,0,prime_eyra
11,1,1,1,23,6,4.01,1,3,Joint,HighEffort,0,rapt_jenny
11,3,2,1,23,5,2.03,1,3,Joint,HighEffort,0,comic_esok
11,5,3,1,23,6,12.51,1,3,Joint,HighEffort,1,lucky_tiger
11,7,4,1,23,4,1.82,1,3,Joint,HighEffort,1,picky_bunny
11,9,5,1,23,6,2.27,1,3,Joint,HighEffort,0,silly_steer
11,11,6,1,23,6,3.97,1,3,Joint,HighEffort,1,prime_eyra
11,1,1,1,24,4,4.03,1,3,Joint,HighEffort,1,rapt_jenny
11,3,2,1,24,4,2.52,1,3,Joint,HighEffort,1,comic_esok
11,5,3,1,24,6,12.56,1,3,Joint,HighEffort,1,lucky_tiger
11,7,4,1,24,6,2,1,3,Joint,HighEffort,1,picky_bunny
11,9,5,1,24,3,2.14,1,3,Joint,HighEffort,0,silly_steer
11,11,6,1,24,6,3.52,1,3,Joint,HighEffort,0,prime_eyra
11,1,1,1,25,5,2.85,1,3,Joint,HighEffort,0,rapt_jenny
11,3,2,1,25,3,3.63,1,3,Joint,HighEffort,1,comic_esok
11,5,3,1,25,6,4.88,1,3,Joint,HighEffort,1,lucky_tiger
11,7,4,1,25,5,3.66,1,3,Joint,HighEffort,1,picky_bunny
11,9,5,1,25,5,3.5,1,3,Joint,HighEffort,0,silly_steer
11,11,6,1,25,6,3.06,1,3,Joint,HighEffort,1,prime_eyra
11,1,1,1,26,4,4.3,1,3,Joint,HighEffort,0,rapt_jenny
11,3,2,1,26,5,4.63,1,3,Joint,HighEffort,1,comic_esok
11,5,3,1,26,6,3.4,1,3,Joint,HighEffort,0,lucky_tiger
11,7,4,1,26,4,2.33,1,3,Joint,HighEffort,0,picky_bunny
11,9,5,1,26,3,1.58,1,3,Joint,HighEffort,0,silly_steer
11,11,6,1,26,6,4,1,3,Joint,HighEffort,0,prime_eyra
11,1,1,1,27,4,3.54,1,3,Joint,HighEffort,1,rapt_jenny
11,3,2,1,27,5,6.52,1,3,Joint,HighEffort,1,comic_esok
11,5,3,1,27,6,4.5,1,3,Joint,HighEffort,1,lucky_tiger
11,7,4,1,27,6,4.73,1,3,Joint,HighEffort,1,picky_bunny
11,9,5,1,27,3,5.56,1,3,Joint,HighEffort,0,silly_steer
11,11,6,1,27,6,2.95,1,3,Joint,HighEffort,1,prime_eyra
11,1,1,1,28,5,3.27,1,4,SecondMover,LowEffort,1,rapt_jenny
11,3,2,1,28,3,4.41,1,4,SecondMover,LowEffort,1,comic_esok
11,5,3,1,28,1,3.03,1,4,SecondMover,LowEffort,0,lucky_tiger
11,7,4,1,28,2,4.2,1,4,SecondMover,LowEffort,0,picky_bunny
11,9,5,1,28,4,1.62,1,4,SecondMover,LowEffort,1,silly_steer
11,11,6,1,28,6,4.46,1,4,SecondMover,LowEffort,0,prime_eyra
11,1,1,1,29,1,3.27,1,4,SecondMover,LowEffort,0,rapt_jenny
11,3,2,1,29,5,1.92,1,4,SecondMover,LowEffort,1,comic_esok
11,5,3,1,29,2,5.73,1,4,SecondMover,LowEffort,1,lucky_tiger
11,7,4,1,29,6,6.4,1,4,SecondMover,LowEffort,1,picky_bunny
11,9,5,1,29,2,2.61,1,4,SecondMover,LowEffort,1,silly_steer
11,11,6,1,29,6,4.2,1,4,SecondMover,LowEffort,0,prime_eyra
11,1,1,1,30,4,5.03,1,4,SecondMover,LowEffort,1,rapt_jenny
11,3,2,1,30,1,3.97,1,4,SecondMover,LowEffort,0,comic_esok
11,5,3,1,30,1,2.12,1,4,SecondMover,LowEffort,1,lucky_tiger
11,7,4,1,30,5,6.26,1,4,SecondMover,LowEffort,1,picky_bunny
11,9,5,1,30,4,3.2,1,4,SecondMover,LowEffort,1,silly_steer
11,11,6,1,30,6,4.17,1,4,SecondMover,LowEffort,0,prime_eyra
11,1,1,1,31,2,3.11,1,4,SecondMover,LowEffort,0,rapt_jenny
11,3,2,1,31,3,2.75,1,4,SecondMover,LowEffort,1,comic_esok
11,5,3,1,31,1,3.55,1,4,SecondMover,LowEffort,0,lucky_tiger
11,7,4,1,31,3,4.99,1,4,SecondMover,LowEffort,0,picky_bunny
11,9,5,1,31,5,1.69,1,4,SecondMover,LowEffort,1,silly_steer
11,11,6,1,31,1,3.7,1,4,SecondMover,LowEffort,0,prime_eyra
11,1,1,1,32,6,4.09,1,4,SecondMover,LowEffort,1,rapt_jenny
11,3,2,1,32,3,4.89,1,4,SecondMover,LowEffort,0,comic_esok
11,5,3,1,32,1,5.29,1,4,SecondMover,LowEffort,1,lucky_tiger
11,7,4,1,32,6,2.03,1,4,SecondMover,LowEffort,1,picky_bunny
11,9,5,1,32,5,1.6,1,4,SecondMover,LowEffort,1,silly_steer
11,11,6,1,32,3,1.63,1,4,SecondMover,LowEffort,0,prime_eyra
11,1,1,1,33,4,3.18,1,4,SecondMover,LowEffort,1,rapt_jenny
11,3,2,1,33,6,3.67,1,4,SecondMover,LowEffort,1,comic_esok
11,5,3,1,33,1,4.1,1,4,SecondMover,LowEffort,1,lucky_tiger
11,7,4,1,33,5,1.7,1,4,SecondMover,LowEffort,1,picky_bunny
11,9,5,1,33,1,1.12,1,4,SecondMover,LowEffort,0,silly_steer
11,11,6,1,33,2,4.4,1,4,SecondMover,LowEffort,1,prime_eyra
11,1,1,1,34,4,6.08,1,4,SecondMover,LowEffort,0,rapt_jenny
11,3,2,1,34,6,6.15,1,4,SecondMover,LowEffort,0,comic_esok
11,5,3,1,34,1,5.19,1,4,SecondMover,LowEffort,1,lucky_tiger
11,7,4,1,34,5,4.19,1,4,SecondMover,LowEffort,1,picky_bunny
11,9,5,1,34,1,4.71,1,4,SecondMover,LowEffort,1,silly_steer
11,11,6,1,34,3,3.71,1,4,SecondMover,LowEffort,0,prime_eyra
11,1,1,1,35,3,3,1,4,SecondMover,LowEffort,1,rapt_jenny
11,3,2,1,35,4,4.69,1,4,SecondMover,LowEffort,1,comic_esok
11,5,3,1,35,1,3.59,1,4,SecondMover,LowEffort,0,lucky_tiger
11,7,4,1,35,5,1.36,1,4,SecondMover,LowEffort,0,picky_bunny
11,9,5,1,35,6,1.4,1,4,SecondMover,LowEffort,1,silly_steer
11,11,6,1,35,3,2.28,1,4,SecondMover,LowEffort,1,prime_eyra
11,1,1,1,36,6,4.42,1,4,SecondMover,LowEffort,1,rapt_jenny
11,3,2,1,36,2,11.36,1,4,SecondMover,LowEffort,0,comic_esok
11,5,3,1,36,1,2.54,1,4,SecondMover,LowEffort,1,lucky_tiger
11,7,4,1,36,5,1.64,1,4,SecondMover,LowEffort,1,picky_bunny
