Date,Session,SessionSubject,Team,MoverNo,RoundNo,Report,RT
2019_3_4_11_31_33,11,7,4,1,10,3,3.44
2019_3_4_11_31_34,11,5,3,1,10,6,3.75
2019_3_4_11_31_40,11,9,5,1,10,6,4.75
2019_3_4_11_31_42,11,11,6,1,10,3,5.52
2019_3_4_11_31_47,11,6,4,2,10,5,7.28
2019_3_4_11_31_47,11,2,2,2,10,4,2.45
2019_3_4_11_31_50,11,8,5,2,10,6,2.44
2019_3_4_11_31_50,11,1,1,1,10,6,3.54
2019_3_4_11_31_58,11,10,6,2,10,3,7.37
2019_3_4_11_32_5,11,3,2,1,11,5,1.46
2019_3_4_11_32_5,11,4,3,2,10,4,6.8
2019_3_4_11_32_6,11,9,5,1,11,1,1.89
2019_3_4_11_32_6,11,7,4,1,11,5,5.05
2019_3_4_11_32_9,11,12,1,2,10,6,4.52
2019_3_4_11_32_12,11,2,2,2,11,5,1.95
2019_3_4_11_32_16,11,11,6,1,11,6,3.96
2019_3_4_11_32_17,11,8,5,2,11,6,3.08
2019_3_4_11_32_19,11,6,4,2,11,2,3.59
2019_3_4_11_32_26,11,5,3,1,11,6,4.95
2019_3_4_11_32_28,11,3,2,1,12,3,1.72
2019_3_4_11_32_31,11,1,1,1,11,5,5.79
2019_3_4_11_32_34,11,10,6,2,11,1,8.41
2019_3_4_11_32_35,11,9,5,1,12,3,4.18
2019_3_4_11_32_37,11,2,2,2,12,4,1.76
2019_3_4_11_32_38,11,7,4,1,12,4,3.03
2019_3_4_11_32_42,11,12,1,2,11,6,1.73
2019_3_4_11_32_43,11,8,5,2,12,1,2.15
2019_3_4_11_32_47,11,6,4,2,12,4,3.08
2019_3_4_11_32_52,11,11,6,1,12,3,3.28
2019_3_4_11_33_3,11,1,1,1,12,6,4.06
2019_3_4_11_33_4,11,4,3,2,11,3,24.49
2019_3_4_11_33_6,11,10,6,2,12,4,6.31
2019_3_4_11_33_19,11,12,1,2,12,5,3.65
2019_3_4_11_33_22,11,5,3,1,12,6,2.96
2019_3_4_11_33_29,11,9,5,1,13,4,2.78
2019_3_4_11_33_31,11,3,2,1,13,4,4.63
2019_3_4_11_33_38,11,4,3,2,12,6,6.98
2019_3_4_11_33_38,11,8,5,2,13,5,2.4
2019_3_4_11_33_39,11,7,4,1,13,5,3.05
2019_3_4_11_33_40,11,2,2,2,13,3,1.69
2019_3_4_11_33_54,11,3,2,1,14,6,2.27
2019_3_4_11_33_56,11,6,4,2,13,5,8.03
2019_3_4_11_33_56,11,9,5,1,14,6,2.07
2019_3_4_11_33_58,11,11,6,1,13,1,3.17
2019_3_4_11_34_8,11,2,2,2,14,6,2.16
2019_3_4_11_34_11,11,8,5,2,14,5,6.41
2019_3_4_11_34_19,11,7,4,1,14,2,2.21
2019_3_4_11_34_19,11,1,1,1,13,5,6.55
2019_3_4_11_34_22,11,10,6,2,13,4,9.86
2019_3_4_11_34_25,11,5,3,1,13,6,3.24
2019_3_4_11_34_26,11,3,2,1,15,3,1.63
2019_3_4_11_34_29,11,9,5,1,15,5,3.61
2019_3_4_11_34_32,11,6,4,2,14,3,6.61
2019_3_4_11_34_34,11,2,2,2,15,4,2.53
2019_3_4_11_34_35,11,12,1,2,13,4,6.46
2019_3_4_11_34_37,11,4,3,2,13,6,5.48
2019_3_4_11_34_38,11,11,6,1,14,1,3.12
2019_3_4_11_34_38,11,8,5,2,15,5,2.36
2019_3_4_11_34_51,11,7,4,1,15,6,2.37
2019_3_4_11_34_53,11,1,1,1,14,5,3.73
2019_3_4_11_34_54,11,5,3,1,14,6,3.09
2019_3_4_11_34_54,11,10,6,2,14,1,6.42
2019_3_4_11_35_5,11,6,4,2,15,3,8.03
